beat_id	start	end	narration	visual_required	desktop_asset	mobile_asset	crop_or_focus	status	notes
01	00:00.00	00:21.88	A projection is one number; floor and ceiling reveal the range. This walkthrough covers web, mobile, and Sit/Start.	Fast montage of current desktop player row, metric close-ups, mobile Fantasy board, and completed Sit/Start card.	captures/desktop/live-board-desktop-2026-07-18-projected.png	captures/mobile/live-board-mobile-2026-07-18-projected.png	Animated crops on projected, floor, ceiling, then Start badge.	verified	Real dated board capture plus labeled product UI preview; reviewed at frame 00:10.
02	00:21.88	00:43.34	Open Fantasy and confirm MLB, slate date, scoring label, and update status.	Desktop navigation into Fantasy, then close-up of header metadata.	captures/desktop/public-fantasy-landing-2026-07-18.png		Highlight Fantasy page, MLB, date, DraftKings scoring, and latest-available state in narration order.	verified	Desktop public page is the truthful current context surface; no separate mobile visual is needed for this beat.
03	00:44.42	01:30.48	Define projected points, explain current markets plus recent performance for uncovered components, and interpret the support counts.	Real hitter card with projected value isolated; restrained callouts from supporting input counts to projection.	captures/desktop/live-board-desktop-2026-07-18-projected.png		Zoom to the 12.8 projected value, then show market-input and history context.	verified	Real live board; counts are explicitly described as context, not grades; reviewed at frame 01:00.
04	01:31.48	01:51.02	Define floor and ceiling as range estimates, not guaranteed boundaries.	Same player row; first zoom into floor, then ceiling, then show the full range together.	remotion/src/Video.tsx		Follow exact word order: floor, ceiling, full range; animate likely-range bar and not-guaranteed language.	verified	Source-faithful editorial close-up uses the same live player values; reviewed at frame 01:42.
05	01:52.30	02:30.16	Sort by Projected, Floor, or Ceiling; each answers a different question and provides a distinct lens.	Real Projected, Floor, and Ceiling states with visible list reordering.	captures/desktop/live-board-desktop-2026-07-18-projected.png; captures/desktop/live-board-desktop-2026-07-18-floor.png; captures/desktop/live-board-desktop-2026-07-18-ceiling.png	captures/mobile/live-board-mobile-2026-07-18-projected.png; captures/mobile/live-board-mobile-2026-07-18-floor.png; captures/mobile/live-board-mobile-2026-07-18-ceiling.png	Crossfade the three real sorted states while naming each lens.	verified	Actual public-board interactions captured in a headless browser; reviewed at frame 02:12.
06	02:31.22	02:50.58	Select two hitters and open Sit/Start; higher projection becomes Start and gap is shown.	Desktop selection state followed by Sit/Start comparison reveal.	remotion/src/AppUI.tsx		Show two selected rows, then zoom into Start/Sit labels and +1.4 point difference.	verified	Labeled web-app reconstruction is grounded in the shipped origin/main component and live July 18 data; reviewed at frame 02:40.
07	02:51.58	03:15.00	Compare the full ranges; similar projections can hide different downside and upside.	Hold both comparison cards side by side and emphasize corresponding floor, projection, and ceiling fields.	remotion/src/AppUI.tsx		Keep both players visible and align all three metrics across the cards.	verified	Source-faithful comparison UI; live values and support counts match the board; reviewed at frame 03:05.
08	03:15.00	03:38.18	Sit/Start is a direct projection comparison, not a complete lineup optimizer.	Keep comparison UI behind a compact external-context checklist.	remotion/src/Video.tsx		Show league rules, roster, injury, weather, and lineup as external checks without obscuring the core comparison.	verified	Boundary overlay is synchronized to the exact limitation narration; reviewed at frame 03:25.
09	03:39.58	04:03.22	Repeat the workflow on mobile: sort, select two hitters, and read the mobile comparison.	Full mobile walkthrough with sorting chips, selected hitters, and the Sit/Start card.		captures/mobile/live-board-mobile-2026-07-18-projected.png; remotion/src/AppUI.tsx	Animate chips and comparison states inside the phone; keep real responsive board visible as provenance inset.	verified	Labeled native-screen reconstruction follows shipped origin/main mobile source; real responsive capture is also on-screen; reviewed at frame 03:50.
10	04:04.42	04:24.70	Refresh and verify freshness before deciding.	Desktop manual refresh and update metadata, then mobile pull-to-refresh.	captures/desktop/live-board-desktop-2026-07-18-projected.png	remotion/src/AppUI.tsx	Zoom to latest-available date; spin desktop refresh icon and show mobile pull gesture.	verified	No stale state is manufactured; displayed July 18 latest-available status comes from the real capture; reviewed at frame 04:15.
11	04:25.72	04:44.90	Recap the five-step workflow.	Live desktop board remains visible with sequential five-item checklist overlay.	captures/desktop/live-board-desktop-2026-07-18-projected.png		Checklist: confirm slate, choose sort, select two, compare range, verify context.	verified	Overlay occupies less than one-third of the primary data area and follows narration order; reviewed at frame 04:35.
12	04:46.20	05:23.76	Explain public-versus-full workflow, current MLB-hitter scope, CTA, and projection disclaimer.	Public fantasy page, mobile workflow preview, and Propeller brand resolve.	captures/desktop/public-fantasy-landing-2026-07-18.png	remotion/src/AppUI.tsx	Show scope, CTA, and product surfaces; finish on the real public page with concise disclaimer.	verified	Public page is real and dated; mobile preview is labeled; reviewed at frame 05:00.
