beat_id	start	end	narration	visual_required	desktop_asset	mobile_asset	crop_or_focus	status	notes
01	0.00	16.84	A useful PrizePicks cheat sheet is not a list of guaranteed picks. It is a dated research snapshot that tells you exactly who, what stat, which line, what direction the evidence supports, how strong that signal is, and what still needs to be checked.	Answer-first current page hook	captures/desktop/current-prizepicks-research-2026-08-17.png	captures/mobile/current-prizepicks-research-2026-08-17.png	Full current board with dated source label	verified	Current Propeller research, not a verified PrizePicks projection
02	17.96	34.28	Start with the identity of the question. You need the player, team, stat type, and exact number. A lean on more than eight and a half rebounds is not the same question as more than nine and a half. If the number changes, the research may no longer apply.	Exact player, stat, and line focus	captures/desktop/current-analyzer-christian-franklin-2026-08-17.png		Crop current analyzer row; repeat exact fields at readable size	verified	No mobile equivalent needed because the next dated-pair beat establishes cross-device parity
03	35.48	50.68	Next comes freshness. A trustworthy sheet should show when the analysis was produced and whether the underlying line is still available. A page title that says current is not enough. The row, its source, and its timestamp all have to agree.	Page date and source timestamp	captures/desktop/current-prizepicks-research-2026-08-17.png		Zoom visible August 17 date and show analyzed-at ledger	verified	Response time is not substituted for source-analysis time
04	51.67	71.50	This capture is a real Propeller example from August seventeenth, twenty twenty-six. It shows Christian Franklin, runs batted in, a zero point five line, an under direction, and seventy-nine percent model confidence. Desktop and mobile show the same player, stat, line, direction, and confidence.	Matching current desktop and mobile row	captures/desktop/current-prizepicks-research-2026-08-17.png	captures/mobile/current-prizepicks-research-2026-08-17.png	Side-by-side full board and phone crop	verified	Same August 17 row and values on both screens
05	72.28	82.96	That confidence score means the available signals strongly support the displayed direction. It is not a seventy-nine percent chance of winning, and it is not a guarantee.	Exact direction and confidence	captures/desktop/current-analyzer-christian-franklin-2026-08-17.png		Zoom exact row; split UNDER from 79 model confidence	verified	On-screen copy explicitly rejects probability interpretation
06	84.18	107.62	Now inspect the supporting data. For this dated example, the analysis included recent hit-rate evidence, park context, usage, market context, and an injury check. The injury signal specifically said no injury report data was available. That missing data is part of the answer. A good cheat sheet shows limitations instead of hiding them.	Current five-agent evidence panel			Readable branded evidence cards; highlight each exact agent in narration order	verified	Editorial reconstruction from current dated Propeller API record
07	108.68	131.08	The evidence also needs context. A recent trend can describe what happened, but it cannot promise what happens next. Park and matchup information may change the environment, but not the final outcome. Market-implied context is not true probability. And one strong signal should not erase late lineup news, role changes, weather, or a moved line.	Evidence limits and missing-input callout			Keep five-agent panel; emphasize evidence including gaps	verified	No claim of prediction certainty or calibrated probability
08	132.00	151.26	Then separate direction from confidence. Direction answers which side the combined evidence supports. Confidence answers how strongly the model supports that side for the displayed line. Neither one tells you the payout, entry correlation, or whether PrizePicks currently offers that exact projection.	Direction and confidence comparison	captures/desktop/current-analyzer-christian-franklin-2026-08-17.png		Exact row plus two large definition cards	verified	Avoids Power/Flex and generic payout teaching
09	152.68	177.04	That last point is the required platform check. Propeller is independent and its public page is not a PrizePicks-native feed. At the time of this capture, Propeller's current analysis existed, but the platform-backed PrizePicks line endpoint returned no matching records. So this row cannot be presented as a current PrizePicks projection. The correct result is stop, not assume.	Failed exact platform match			Player/stat/line ledger ending in NO VERIFIED PRIZEPICKS MATCH	verified	Truthful current no-match state; no fabricated platform screenshot
10	178.22	195.54	A cheat sheet cannot establish that the player is active, the line is unchanged, the projection is available in your location, the entry terms are favorable, or the outcome will hit. It also cannot replace the final screen inside PrizePicks.	Limitations checklist			Animate five verify-required limits	verified	Evergreen answer-engine list
11	195.54	214.08	So use this checklist. Confirm the player. Confirm the stat. Read the exact line. Check the timestamp. Inspect the supporting evidence and missing inputs. Read direction and confidence separately. Then verify the actual PrizePicks projection before making your own decision.	Eight-step cheat-sheet checklist			Readable checklist with PrizePicks check emphasized	verified	Final live platform remains authoritative
12	215.34	231.90	That is what belongs in a trustworthy cheat sheet: a clear research question, inspectable evidence, visible limits, and an honest line check. Propeller is a research and analytics platform, not a sportsbook, and no model signal guarantees an outcome.	Branded close on current page	captures/desktop/current-prizepicks-research-2026-08-17.png		Current board and concise responsible-use close	verified	CTA goes to permanent guide and current research page
