beat_id	start	end	narration	visual_required	desktop_asset	mobile_asset	crop_or_focus	status	notes
01	00:00.000	00:11.700	Sports research is fragmented.	Editorial problem framing			Fragmented line, injury, role, matchup, market, and social context	verified	No generic betting footage; this introduces the research problem.
02	00:11.700	00:25.500	Propeller Picks is building the research layer.	Product positioning	captures/desktop/analyzer-2026-07-21.png	captures/mobile/prop-detail-2026-07.png	Desktop/mobile product pair with “one question, inspectable context” editorial frame	verified	Both captures are visibly labelled illustrative product capture, July 2026.
03	00:25.500	00:30.700	The free Prop Analyzer shows a sport, player, market, line, direction, and freshness.	Analyzer workflow	captures/desktop/prop-detail-2026-07.png	captures/mobile/prop-detail-2026-07.png	Desktop line, direction, and freshness view; UI remains readable	verified	Historical capture label remains present. No value is presented as current.
04	00:30.700	00:59.500	Technically, it is an explainable weighted ensemble.	Technical method and inspectable agent evidence	captures/desktop/agent-breakdown-2026-07.png	captures/mobile/agent-breakdown-2026-07.png	Weighted ensemble / calibration diagram beside desktop agent rows; no-vig, recency, trend, consistency, and injury cascade terminology	verified	The agent counts and weights are not universal; every listed product screenshot is labelled historical.
05	00:59.500	01:16.000	That is the wedge: not a black-box pick, but a transparent workflow.	Product and distribution wedge	captures/desktop/prop-detail-2026-07.png	captures/mobile/agent-breakdown-2026-07.png	Discover → inspect → repeat workflow connects free Analyzer to full workspace	verified	No conversion or metric claim; images illustrate continuity of workflow only.
06	01:16.000	01:26.700	That evidence becomes a 50-to-100 directional confidence score.	Confidence explanation	captures/desktop/prop-detail-2026-07.png	captures/mobile/prop-detail-2026-07.png	Paired confidence views plus 50–100 signal-strength ring	verified	Visible copy states the score is not a calibrated win probability or guarantee.
07	01:26.700	01:38.000	The product expands beyond player props.	Fantasy layer	captures/desktop/fantasy-2026-07-18.png		Floor, point projection, and ceiling with MLB hitter / DraftKings MLB scope label	verified	No mobile equivalent is shown because the claim is specifically demonstrated by the desktop fantasy board; screenshot is historical labelled.
08	01:38.000	01:45.000	The product is built on documented methodology and an honest view of uncertainty.	Methodology and uncertainty editorial beat			Three editorial pillars: method, context, and stop when evidence is incomplete	verified	No historical performance, ROI, or profit claim.
09	01:45.000	01:52.000	Growth is steady and climbing through organic search.	Organic-discovery editorial beat			High-intent research-question visual; no dashboard or metric card	verified	No GA4, GSC, users, sessions, clicks, or impressions displayed.
10	01:52.000	02:01.500	Propeller Picks is building trusted research infrastructure.	Closing platform vision	captures/desktop/analyzer-2026-07-21.png	captures/mobile/prop-detail-2026-07.png	Editorial wordmark close with product montage and URL	verified	Ends with research-platform / not-a-sportsbook framing.
