beat_id	start	end	narration	visual_required	desktop_asset	mobile_asset	crop_or_focus	status	notes
01	00:00.000	00:15.633	Line, evidence, freshness, and limits.	Question-led Analyzer opening	remotion/public/analyzer-jul21.png	none	Left editorial text over Analyzer	implemented_pending_review	Historical Analyzer capture is dated July 21, 2026.
02	00:15.667	00:36.967	Research workspace, not sportsbook.	Analyzer positioning	remotion/public/analyzer-jul21.png	none	Brand + product positioning	implemented_pending_review	No wager-placement claim is visible in context.
03	00:37.000	01:00.933	Player prop research versus fantasy.	Two-job flow	editorial workflow	fantasy-mobile-jul18.png	Separate prop direction from fantasy range	implemented_pending_review	Outputs never conflated.
04	01:00.967	01:26.100	Exact player, stat, direction, and line.	Desktop prop detail	remotion/public/desktop-detail-jul.png	remotion/public/mobile-detail-jul.png	Line anatomy and change caveat	implemented_pending_review	Historical interface capture labeled July 2026.
05	01:26.100	01:48.900	Available sport-specific context.	Agent system introduction	editorial agent map	none	Usable context aggregates to a direction	implemented_pending_review	No universal count shown.
06	01:48.933	02:12.467	Agents are separate signals, not a chatbot or vote.	Technical agent map	editorial agent map	none	Sport, prop, model version, available signals	implemented_pending_review	Answer-first technical definition.
07	02:12.500	02:41.200	Minutes, Usage, Pace, Injury, Matchup.	Agent breakdown	remotion/public/desktop-agent-rows.png	remotion/public/mobile-agent-rows.png	Tight desktop agent-row zoom paired with mobile section and visible Player Workload row	implemented_pending_review	Historical captures labeled; no generic overview screenshot under agent narration.
08	02:41.233	03:03.367	No-vig market context.	Market signal explainer	editorial agent map	none	Question, not automatic value	implemented_pending_review	No profitability claim.
09	03:03.400	03:28.233	Form, rest, and sport-specific conditions.	Sport context map	editorial agent map	none	MLB and NFL context labels	implemented_pending_review	Conceptual graphic is explicitly generic.
10	03:28.267	03:55.767	No universal count or fixed weights.	Calibrated availability map	editorial agent map	none	Available signals only	implemented_pending_review	Missing input presented as limitation.
11	03:55.800	04:20.633	Support, pushback, disagreement.	Desktop/mobile agent inspection	remotion/public/desktop-agent-rows.png	remotion/public/mobile-agent-rows.png	Agent rows fill the visual frame	implemented_pending_review	Agent UI only under agent narration.
12	04:20.667	04:50.100	Directional confidence.	Confidence close-up	remotion/public/desktop-detail-jul.png	remotion/public/mobile-detail-jul.png	Direction first, then score	implemented_pending_review	Explicit not-probability overlay.
13	04:50.133	05:12.167	Workflow: line to pass.	Five-step workflow	editorial workflow	none	Sequential research decision	implemented_pending_review	Pass is shown as valid outcome.
14	05:12.200	05:31.533	Fantasy current scope.	Fantasy desktop/mobile	remotion/public/fantasy-desktop-jul18.png	remotion/public/fantasy-mobile-jul18.png	Floor, point, ceiling introduced	implemented_pending_review	Historical capture dated July 2026.
15	05:31.567	05:54.100	Fantasy technical method.	Range methodology	editorial range graphic	none	Market components + form + variation	implemented_pending_review	No probability distribution claim.
16	05:54.133	06:31.567	Fantasy range limitation and exclusions.	Fantasy range and board	remotion/public/fantasy-desktop-jul18.png	remotion/public/fantasy-mobile-jul18.png	Scenarios, not hard limits	implemented_pending_review	Exclusions spoken and visually supported.
17	06:31.600	06:47.933	Fantasy freshness states.	Fantasy board freshness	remotion/public/fantasy-desktop-jul18.png	remotion/public/fantasy-mobile-jul18.png	Historical capture label remains visible	implemented_pending_review	Never presented as a current live board.
18	06:47.967	07:12.700	Public Results archive.	Results evidence path	editorial results graphic	none	Wins/losses/pushes/splits/ranges	implemented_pending_review	No generic win-rate headline.
19	07:12.733	07:38.967	Historical data context.	Results totals	editorial record cards	none	2.18M raw / 293K ledger with qualifier	implemented_pending_review	July 22, 2026 source snapshot.
20	07:39.000	08:00.700	Forward record standard.	Four-condition record contract	editorial record cards	none	Pre-event / exact line / price / settlement	implemented_pending_review	No ROI result included.
21	08:00.733	08:20.500	Uncertainty remains.	Responsible-use closing	remotion/public/analyzer-jul21.png	none	Research is challengeable	implemented_pending_review	No certainty, profit, or lock language.
22	08:20.533	08:34.300	Free Analyzer CTA.	Final product CTA	remotion/public/analyzer-jul21.png	remotion/public/fantasy-mobile-jul18.png	URL and product lockup	implemented_pending_review	Finish holds CTA long enough to read.
