beat_id	start	end	narration	visual_required	desktop_asset	mobile_asset	crop_or_focus	status	notes
01	00:00.000	00:20.540	Formula and no fixed payout	Answer-first formula receipt			Entry amount × displayed multiplier	verified	Editorial rule context; no mobile equivalent for abstract formula
02	00:20.540	00:36.620	Walkthrough promise and research boundary	Roadmap with three stops			Standard, Flex, final check	verified	Editorial workflow; no mobile equivalent
03	00:36.620	00:55.780	Open calculator and choose controls	Current calculator hero and controls	captures/desktop/calculator-default.png	captures/mobile/calculator-default.png	Entry type, pick count, amount	verified	Fresh local captures; 5-pick neutral state avoids stale 4-pick context
04	00:55.780	01:14.400	Five-pick Standard example	Current populated calculator	captures/desktop/standard-5pick-10.png	captures/mobile/standard-5pick-10.png	5 picks, $10, calculate	verified	Values match current official table
05	01:14.400	01:23.380	Total payout includes entry	Result callout over current calculator	captures/desktop/standard-5pick-10.png	captures/mobile/standard-5pick-10.png	$200 total and +$190 payout minus entry	verified	Values match current official table
06	01:23.380	01:39.060	Hit-rate field is only a what-if	Hit-rate control and warning label	captures/desktop/standard-5pick-10.png	captures/mobile/standard-5pick-10.png	55% scenario field	verified	Explicitly labeled not a forecast or independence proof
07	01:39.060	02:01.300	Switch to Flex and six picks	Current populated Flex calculator	captures/desktop/flex-6pick-10.png	captures/mobile/flex-6pick-10.png	6/6, 5/6, 4/6 rows	verified	Values match current official table
08	02:01.300	02:12.000	Flex lower results are up-to	Editorial Flex receipt			Modifier removed from losing selection	verified	Official Underdog context; no direct product capture because exact entry modifiers vary
09	02:12.000	02:26.500	Why displayed payout changes	Modifier and Champions editorial diagram			Selections, correlation, promotion, pool	verified	Editorial rule context; no mobile equivalent
10	02:26.500	02:49.480	Four-step check	Numbered desktop/mobile workflow	captures/desktop/calculator-default.png	captures/mobile/calculator-default.png	Location, format, math, final screen	verified	Classic and Champions availability varies
11	02:49.480	03:00.940	Trust current Underdog disclosure	Source-date and screen-of-truth card			Official help checked Aug 16, 2026	verified	Eligibility can change; editorial source comparison has no mobile equivalent
12	03:00.940	03:22.000	Research-only CTA	Propeller calculator end card	captures/desktop/calculator-default.png	captures/mobile/calculator-default.png	URL and disclaimer	verified	No wager placement; audio ends 03:21.175 with intentional 0.825-second visual tail
