beat_id	start	end	narration	visual_required	desktop_asset	mobile_asset	crop_or_focus	status	notes
01			Sports betting research is full of hot takes, picks, and promises. Propeller is built for something different.	Branded opening plus current Analyzer entry state	to-capture	to-capture	Fast vertical title reveal into the live Analyzer; no generic stock gambling imagery	planned	Hook must establish research-not-promise positioning.
02			We’re a free AI player-prop research platform. Start with a player and a live line...	Current desktop and mobile line lookup	to-capture	to-capture	Show player, stat, and exact line; device handoff from desktop to mobile	planned	Use current data only or clearly label illustrative examples.
03			...Propeller organizes the relevant context: matchup, role, injuries, market movement, recent form, and game environment—into a clear directional read.	Real agent/context UI	to-capture	to-capture	Animate agent labels into the corresponding UI, never over unrelated screenshots	planned	Use the detailed agent breakdown on both platforms.
04			What makes it different? You are not asked to blindly trust a number.	Product-difference editorial card over live UI	to-capture	to-capture	Inspect the research message with restrained orange callout	planned	No unsupported comparisons to competitors.
05			You can see the exact line, the More or Less direction, the confidence, and the agents behind it...	Confidence and agent breakdown on desktop and mobile	to-capture	to-capture	Zoom precisely into line, direction, confidence, then agent breakdown	planned	Every named UI element needs an exact visual.
06			And we show the record with the caveats, not just a headline.	Current public Results page	to-capture	none	Lead with Read the unit before the rate and the current date	planned	Editorial proof section.
07			Our public historical archive includes more than 2.18 million graded analysis rows and a 293-thousand-entry public ledger.	Current Results page figures	to-capture	none	Zoom only into 2,185,007 raw rows and 293,020 ledger entries; animate plain-language labels	planned	Do not show an unqualified company-wide win rate.
08			Those are descriptive historical outcomes—not a promise, and not a forward-tested ROI claim.	Results limitation copy	to-capture	none	Show required historical-archive qualifier with not forward-tested ROI	planned	This qualifier must remain legible for the entire beat.
09			Propeller never takes wagers or places entries. It gives you clearer research so you can make your own decision.	Analyzer and product positioning	to-capture	to-capture	Return to actionable analysis workflow; show no sportsbook UI	planned	End with independent-research message.
10			Try the free Prop Analyzer at PropellerPicks.com.	End card and current Analyzer	to-capture	to-capture	Large URL plus app/analyzer CTA, two-second hold	planned	No claim of a current promo beyond free Analyzer access.
