beat_id	start	end	narration	visual_required	desktop_asset	mobile_asset	crop_or_focus	status	notes
01	00:00	00:10	Sports are more fun with a point of view...too little context.	Kinetic hook over a tightly framed product background	analyzer-jul21.png	mobile-detail-jul.png	Vertical crop starts abstracted, then resolves into a readable prop card. Large title: “LESS NOISE. MORE CONTEXT.”	planned	No generic sportsbook, odds-board, or stock gambling footage.
02	00:10	00:17	Meet Propeller Picks—an AI-assisted research workspace...	Brand reveal and web/mobile handoff	analyzer-jul21.png	mobile-detail-jul.png	Show the two real surfaces side by side inside a dark editorial frame. On-screen: “RESEARCH FOR THE GAMES YOU FOLLOW.”	planned	Introduces the product, not a feature list.
03	00:17	00:23	What is it? A place to explore a player, a line...	Exact player-line research moment	analyzer-jul21.png	mobile-detail-jul.png	Zoom into player name, stat, and line on desktop, then match-cut to the same information on mobile.	planned	Line must be visible; no unrelated dashboard image.
04	00:23	00:35	Start free...Use it before the slate...	Platform and use-moment montage	analyzer-jul21.png	mobile-detail-jul.png	Desktop Analyzer first, mobile second; animated labels “WEB” and “MOBILE” become “BEFORE THE SLATE” and “WHEN NEWS CHANGES THE PICTURE.”	planned	Do not call a specific line current unless captured that day.
05	00:35	00:45	Propeller brings together sport-specific signals...	Signal system visual over real agent context	desktop-agents-jul.png	mobile-agent-rows.png	Use named signal labels as a restrained orbit that lands on the corresponding agent rows. Desktop then mobile.	planned	No universal agent count. Reused capture is labelled illustrative.
06	00:45	00:56	It turns that research into a clear directional read. Confidence...	Exact confidence-score proof	desktop-detail-jul.png	mobile-detail-jul.png	First zoom into desktop confidence score and More/Less direction, then to the matching mobile confidence score. Highlight only those UI elements.	planned	The confidence visual belongs only here. On-screen qualifier: “DIRECTIONAL CONTEXT · NOT A GUARANTEE.”
07	00:56	01:04	Want to know why? Open the breakdown...	Exact agent-breakdown proof	desktop-agent-rows.png	mobile-agent-breakdown-crop.png	Zoom into desktop model breakdown, then show the mobile Agent Breakdown title and first row in a dedicated crop.	planned	Agent breakdown—not confidence—is the hero of this beat. Historical captures are labelled.
08	01:04	01:10	For MLB fantasy research, see a hitter's floor...	Fantasy projection moment	fantasy-desktop-jul18.png	fantasy-mobile-jul18.png	Show floor, central projection, and ceiling on desktop, then the same fields on mobile.	planned	Use MLB hitter wording on-screen; no unsupported broader fantasy scope.
09	01:10	01:19	No sportsbook. No entries placed. Just a smarter starting point.	Product value resolve	analyzer-jul21.png	mobile-detail-jul.png	Return to calm, readable product cards with “INDEPENDENT RESEARCH” and “YOUR DECISION.”	planned	No outcome language or financial implication.
10	01:19	01:24	Less tab hopping...Start free at PropellerPicks.com.	Brand end card plus product cameo	analyzer-jul21.png	mobile-detail-jul.png	High-energy orange-to-ink close. Large CTA: “START FREE” and “PROPELLERPICKS.COM/ANALYZER.” Hold URL through end.	planned	Final frame carries logo, URL, and no promotional expiration claim.
