item,priority,status,action,canonical_owner,evidence_source,evidence_date,validation,notes
1,P1,partial,Export complete GSC query/page data and map intent clusters to canonical owners,/tools/prizepicks-payout-calculator/; /tools/pick6-payout-calculator/,analytics-dashboard/data/analytics-dashboard.json,2026-07-21,Fresh export required,Current movement unavailable
2,P1,partial,Add answer-first research and analyzer blocks only after owner review,/research/; /analyzer/,scripts/sync_faq_schema.py,2026-08-08,FAQ/schema contracts pass,Research hub FAQ/direct-answer gap is an opportunity
3,P1,partial,Test three analyzer title/meta variants against a fresh stable window,/analyzer/,docs/seo/seo-survey-2026-06-10.md,2026-06-10,Controlled GSC test required,Variants are hypotheses
4,P1,partial,Link the orphan research hub and review weak inbound links,/research/,research/index.html,2026-08-08,Public crawl found zero broken links,One confirmed indexable orphan
5,P1,partial,Resolve sitemap generator content discovery and rerun schema/sitemap checks,scripts/generate_sitemap.py,scripts/generate_sitemap.py,2026-08-08,generate_sitemap.py --check currently fails,Do not change in this report-only release
6,P1,partial,Reverify official platform rules and refresh calculator/guide boundaries,/tools/prizepicks-payout-calculator/; /tools/underdog-payout-calculator/,tools/underdog-payout-calculator/index.html,2026-07-25,Manual source review required,Do not change dates mechanically
7,P2,partial,Maintain dated competitor source registers and build briefs from captured clusters,/compare/; /tools/; /analyzer/,competitor-profiles/,2026-07-24,No live SERP or rank tracker available,No invented rankings or ad history
8,P1,partial,Complete or retry all 300 frozen AEO observations,docs/seo/aeo-snapshot-2026-08-01.csv,docs/seo/aeo-citation-tracker.md,2026-08-01,Strict completeness gate required,1 completed and 299 pending
9,P1,partial,Keep generated indexation cohort gates and add sitemap input allowlist,scripts/generate_sitemap.py,scripts/check_site_consistency.py,2026-08-08,3,062 HTML and 70 indexable pages audited,No exact visible-body duplicates confirmed
10,P1,completed,Run the reusable weekly report generator after each fresh evidence export,/Users/scottolmer/.codex/skills/weekly-seo-report/,reports/weekly-seo-operating-report-2026-08-08.json,2026-08-08,Skill smoke test required,Captured baseline only
