beat_id	start	end	narration	visual_required	desktop_asset	mobile_asset	crop_or_focus	status	notes
01	0.000	23.440	Power-versus-Flex answer and non-recommendation	Split Power sweep vs Flex partial-tier visual			Full-frame editorial comparison; animated correct/incorrect pick tiles	verified	Editorial visual is required because the local calculator alone cannot explain structure without implying a recommendation.
02	23.440	47.880	Player Picks use 2-6 projections, two teams, and region-specific limits	Current rule constraints and location caveat			2-6 hero number plus three source-labelled rule cards	verified	No mobile equivalent is needed for an official rule summary; Colorado minimum and jurisdiction caveat are visible.
03	47.880	68.640	Current standard Power rates	Complete Power payout ladder			Five-column animated editorial ladder with four-pick tier highlighted	verified	Rates sourced from the live official Payouts page opened 2026-08-16.
04	68.640	94.700	Current standard Flex tiers, including official two-pick Flex	Complete Flex payout grid			Five-column editorial grid; two-pick rule shown only here; four-pick tier highlighted	verified	The local calculator exposes Flex from three picks, so it is intentionally absent. Live official Payouts and Potential Outcomes pages both showed 6x for 4/4; a stale search snapshot showed 5x.
05	94.700	123.540	Four-pick $20 Power and Flex standard-rate example	Matching calculator results on desktop and mobile	captures/desktop/calculator-power-4-pick-20.png; captures/desktop/calculator-flex-4-pick-20.png	captures/mobile/calculator-power-4-pick-20.png; captures/mobile/calculator-flex-4-pick-20.png	Results crop; switch from Power to Flex midway; label total payout not profit	verified	Fresh local captures dated 2026-08-16. Optional scenario estimates remain visible only with the calculator's own visitor-input disclosure.
06	123.540	151.080	Individual PrizePicks details screen controls and payouts may vary	Controlling-screen concept and variation factors			Clearly labelled editorial representation plus factor list	verified	No PrizePicks account was used and no entry was built, so a branded editorial representation is more truthful than a fabricated app capture.
07	151.080	189.940	DNP, eligible Reboot, tie, refund, and same-team effects	Four-pick-to-three-pick reversion flow			Editorial before/after lineup flow with DNP, Reboot, and tie distinctions	verified	Sport-specific conditions and same-team eligibility remain in narration; official DNP/Reboot/tie sources were rechecked 2026-08-16.
08	189.940	216.120	How to use the calculator and what the hit-rate input cannot predict	Fresh calculator form and scenario disclaimer on desktop and mobile	captures/desktop/calculator-power-4-pick-20.png; captures/desktop/calculator-flex-4-pick-20.png	captures/mobile/calculator-power-4-pick-20.png; captures/mobile/calculator-flex-4-pick-20.png	Form crop; callout on visitor-supplied hit rate; Power-to-Flex switch	verified	Current UI explicitly says the visitor assumption is not supplied or validated by Propeller and does not predict a single entry.
09	216.120	237.120	Short answer: Power concentrates, Flex adds tiers, neither proves an entry is good	Concise two-column recap			Editorial Power/Flex summary cards	verified	No mobile equivalent is needed for this summary visual.
10	237.120	260.000	Current-source CTA, independent status, no wagers, responsible-use language	Source list, calculator URL, and compliance close			Editorial source ledger and Propeller CTA	verified	Official page update dates are visible; no upload or publication CTA is implied.
