beat_id	start	end	narration	visual_required	desktop_asset	mobile_asset	crop_or_focus	status	notes
01	00:00.000	00:27.720	Define a free NFL player prop analyzer and Propeller's public access.	Current Analyzer landing page and direct answer.	assets/captures/current-analyzer-desktop.png	assets/captures/current-analyzer-mobile.png	Free, no-account, focused lookup, and independent facts.	verified	Current production UI captured July 31, 2026.
02	00:27.720	00:39.360	Select NFL and check whether a current slate exists.	Desktop and mobile NFL-tab selection.	assets/captures/current-analyzer-desktop.png	assets/captures/current-nfl-empty-mobile.png	Animated focus around the selected NFL tab.	verified	NFL was manually selected after base-page load.
03	00:39.360	01:10.500	Training camp does not automatically mean current regular-season props exist.	Verified current zero-prop state plus API status inset.	assets/captures/current-analyzer-desktop.png	assets/captures/current-nfl-empty-mobile.png	Offseason, week 0, and zero-current-props inset.	verified	No historical data appears beneath current-state narration.
04	01:10.500	01:30.800	Introduce the archived Josh Allen interface example.	Blocking disclosure followed by labeled desktop/mobile fixture.	remotion:HistoricalCard	remotion:HistoricalCard	Persistent historical badge and blocking disclosure.	verified	Not live and not a published pregame recommendation.
05	01:30.800	02:02.220	Search for a player and confirm player, stat, line, and platform.	Historical search-to-card state on both form factors.	remotion:HistoricalCard	remotion:HistoricalCard	Josh Allen, Passing Yards, 195.5, platform not retained.	verified	The public grid is a filtered result card, not a detail-page click.
06	02:02.220	02:22.640	Read direction before confidence.	Direction focus on desktop and mobile.	remotion:HistoricalCard	remotion:HistoricalCard	UNDER outlined first; confidence de-emphasized.	verified	Player, stat, and line remain visible.
07	02:22.640	02:53.220	Explain confidence as signal strength, not probability.	Confidence focus on desktop and mobile plus separation callout.	remotion:HistoricalCard	remotion:HistoricalCard	62 score, 50-100 scale, and not-62%-probability callout.	verified	Direction and line remain visible for context.
08	02:53.220	03:12.460	Define what the free Analyzer does and does not expose.	Live Analyzer category explanation.	assets/captures/analyzer-boundary-desktop.png	assets/captures/analyzer-boundary-mobile.png	Desktop crops to the explanatory left column.	verified	No agent breakdown is presented as a free feature.
09	03:12.460	03:37.120	Use Build AI research prompt for the next research questions.	Historical card handoff to the populated Prompt Builder.	assets/captures/prompt-builder-desktop.png	assets/captures/prompt-builder-mobile.png	NFL, Josh Allen, Passing Yards, and 195.5 remain consistent.	verified	Prompt output does not replace fresh authoritative sources.
08B	03:37.120	03:59.600	Explain the separate deeper workspace and evidence limits.	Current free-vs-workspace boundary.	assets/captures/workspace-boundary-desktop.png	assets/captures/workspace-boundary-mobile.png	Heading and web-app boundary, without signed-in details.	verified	Separate product surface; exact evidence varies.
10	03:59.600	04:25.820	Run the final freshness check.	Four-step checklist beside current Analyzer.	assets/captures/current-analyzer-desktop.png	assets/captures/current-nfl-empty-mobile.png	Active status, role, exact stat and line, current timestamp.	verified	No historical prop is behind current-status claims.
11	04:25.820	04:40.160	No action is valid when inputs are missing or stale.	Branded decision-state graphic.	remotion:NoAction	remotion:NoAction	Missing slate, moved line, uncertain role, stale evidence.	verified	No contradictory prop beneath narration.
12	04:40.160	04:59.060	Inspect methodology and public results separately.	Current methodology followed by current public-results archive.	assets/captures/method-desktop.png;assets/captures/results-desktop.png	assets/captures/method-mobile.png;assets/captures/results-mobile.png	Method first; results and archive limitations second.	verified	No historical win-rate claim is made in narration.
13	04:59.060	05:33.350	Save the NFL Analyzer and repeat the workflow during game week.	Current Analyzer CTA and URL.	assets/captures/current-analyzer-desktop.png	assets/captures/current-nfl-empty-mobile.png	NFL tab, current state, URL, and responsible-use close.	verified	Final frame uses current July 31, 2026 product capture.
