beat_id	start	end	narration	visual_required	desktop_asset	mobile_asset	crop_or_focus	status	notes
01	0.00	19.72	Here is the safe way to use Propeller's PrizePicks research page: find a current row, match the player, stat, and exact line, read direction and confidence, inspect the supporting evidence and timestamp, and then verify the same projection inside PrizePicks. If the final match fails, stop.	Full workflow hook	captures/desktop/current-prizepicks-research-2026-08-17.png	captures/mobile/current-prizepicks-research-2026-08-17.png	Current board with exact-row and stop-gate labels	verified	Answer-first operational sequence
02	20.58	32.32	We will use one real, dated example captured on August seventeenth, twenty twenty-six. This is current Propeller analysis, not a claim that PrizePicks offers the same line.	Dated source boundary	captures/desktop/current-prizepicks-research-2026-08-17.png	captures/mobile/current-prizepicks-research-2026-08-17.png	Side-by-side matching row with CURRENT PROPELLER labels	verified	Persistent source boundary
03	33.48	50.86	First, open the PrizePicks research page and check the visible date. The page requests current public preview data for NBA, MLB, and NHL. On this capture, MLB had five Propeller research rows while NBA and NHL returned no rows.	Visible date and current page availability	captures/desktop/current-prizepicks-research-2026-08-17.png		Zoom August 17 date and freshness ledger	verified	No empty sport is relabeled as current research
04	51.80	65.76	Desktop and mobile show the same first row: Christian Franklin, Baltimore, runs batted in, zero point five. The displayed direction is under and the model-confidence score is seventy-nine.	Exact matching desktop/mobile row	captures/desktop/current-prizepicks-research-2026-08-17.png	captures/mobile/current-prizepicks-research-2026-08-17.png	Keep both rows readable simultaneously	verified	No contradictory device values
05	65.76	76.92	Before reading anything else, pause on those three fields: player, stat, and line. They define the research question. A different player, different stat, or different number is not a match.	Player, stat, exact line crop	captures/desktop/current-analyzer-christian-franklin-2026-08-17.png		Zoom exact current analyzer row; restate fields at large size	verified	Does not open prompt-builder link
06	77.92	92.92	Next, read direction and confidence separately. Under is the side supported by the combined analysis. Seventy-nine is the strength of that directional signal for the displayed line. It is not a seventy-nine percent win probability.	Direction and confidence exact-section zoom	captures/desktop/current-analyzer-christian-franklin-2026-08-17.png		Exact row plus large UNDER and 79 definitions	verified	Confidence is signal strength only
07	94.32	116.00	Now inspect the evidence behind the row. The dated analysis detail included five agents. Hit-rate evidence noted a long run of games below this threshold. Ballpark context leaned under. Usage produced an under projection. Market context was neutral. The injury agent reported that no injury data was available.	Five current evidence agents			Branded current-analysis panel; highlight each narrated agent	verified	Editorial reconstruction from dated Propeller detail API
08	117.30	132.84	That missing injury input matters. It tells you to check late news and the expected lineup yourself. Agent evidence explains why the model leaned one way; it does not remove the need to verify what changed after the analysis ran.	Missing injury evidence focus			Highlight INJURY MISSING and explanation card	verified	Persistently shows data gap
09	133.88	154.64	Then check freshness. The source analysis timestamp for this row was August seventeenth at twenty thirty UTC. The public page and both captures used the same dated row. A response generated later does not make the underlying analysis newer, so use the analysis timestamp, not just the page-load time.	Source-analysis timestamp ledger	captures/desktop/current-prizepicks-research-2026-08-17.png	captures/mobile/current-prizepicks-research-2026-08-17.png	Page date alongside analyzed-at time	verified	Never substitutes generated-at response time
10	155.38	169.98	Now perform the PrizePicks line check. Open the current Player Picks board and search for the same player and stat. Compare Christian Franklin, runs batted in, zero point five. Do not match by player name alone.	Illustrative Player Picks search interaction			Persistently labeled not-live UI; type player, select stat, compare exact projection	verified	No unsupported actual PrizePicks screenshot; next beat shows the captured API result
11	171.12	188.38	For this production capture, Propeller's platform-backed PrizePicks endpoint returned no records. The analysis record also identified its market source as Underdog, not PrizePicks. So the exact projection could not be verified in PrizePicks.	Empty platform-backed result			Ledger ends in NO VERIFIED PRIZEPICKS MATCH	verified	Truthful production condition
12	188.38	198.60	That is not a reason to substitute a similar line or reuse an older screenshot. It is the answer. No verified match means no action from this row.	No-substitute stop state			Hold explicit failed line-check stamp	verified	Prevents stale or contradictory capture reuse
13	199.76	216.38	On mobile, follow the same order. Confirm the date, player, stat, and line. Read the direction and confidence. Open the detailed evidence. Check missing inputs and the analysis time. Then compare the actual PrizePicks projection on the final screen.	Mobile workflow order		captures/mobile/current-prizepicks-research-2026-08-17.png	Large phone crop beside eight-step order	verified	Same current row as desktop
14	217.74	232.92	If the line moves from zero point five, if the stat type differs, if the player is unavailable, or if the projection is missing, the original research question no longer matches. Refresh Propeller or choose another current row.	Mismatch conditions			Five verify-required limits	verified	No action on mismatch
15	234.08	254.26	The page is a starting point for research, not a shortcut around verification. Propeller is independent, does not submit entries, and does not guarantee outcomes. The safest workflow is simple: exact row, inspectable evidence, honest freshness, actual platform check, and stop when they do not agree.	Branded workflow close	captures/desktop/current-prizepicks-research-2026-08-17.png		Current page plus stop-on-mismatch takeaway	verified	Responsible-use close
