beat_id	start	end	narration	visual_required	desktop_asset	mobile_asset	crop_or_focus	status	notes
01_hook	00:00	00:18	Answer the model question in plain language.	Current analyzer overview with answer-first overlay.	current-analyzer-jul-21.png		Current public instructional Analyzer, darkened only for legibility.	verified	No active recommendation is implied.
02_prediction_limit	00:18	00:35	Explain that the model organizes evidence rather than predicting certainty.	Specific player, stat, direction, and line.	desktop-detail-historical.png		Historical detail view and clear historical label.	verified	Detailed capture is permanently labeled illustrative historical material.
03_inputs	01:03	01:50	Explain market, role, matchup, availability, context, and recent-performance inputs.	Sport-specific signal map, followed by a detailed desktop model view.	desktop-agents-historical.png		The graphic supplies the exact categories; the desktop view grounds them in product signal rows.	verified	Exact mix varies by sport and market.
04_sport_specific	01:50	02:02	Explain how available signal categories appear in the product.	Paired desktop and mobile agent breakdowns.	desktop-agents-historical.png	mobile-model-historical.png	Web model-breakdown rows and mobile signal mix/agent cards appear together, both historically labeled.	verified	Representative categories, not a claim that each agent runs for every prop.
05_agreement_conflict	02:02	02:34	Explain why agreement and conflict both matter.	Same paired agent breakdowns and supporting/caution language.	desktop-agents-historical.png	mobile-model-historical.png	Desktop shows model rows; mobile shows agreement, top driver, and low-agreement context.	verified	Uses the same prop context across desktop and mobile.
06_confidence	02:34	03:15	Define directional confidence and reject probability interpretation.	Paired desktop and mobile confidence cards, each showing the displayed direction alongside the score.	desktop-detail-historical.png	mobile-detail-historical.png	Desktop crop isolates Lean Less 0.5 plus Confidence 79; mobile crop shows Less 0.5 plus 79 CONF. Both are historically labeled.	verified	No old probability wording is visible in this scene.
07_failure_modes	03:15	03:38	Explain missing data, late news, line movement, sparse samples, and role changes.	Current Analyzer context with slower-down guidance.	current-analyzer-jul-21.png		Current instructional landing visual; named risks are narration-backed.	verified	No fabricated alert or stale-line UI.
08_workflow	03:38	04:02	Show how a viewer uses the model responsibly in the product.	Desktop-to-mobile walkthrough: line, direction/confidence, agents, freshness, research/pass.	desktop-agents-historical.png	mobile-model-historical.png	Desktop breakdown plus mobile signal mix, agreement, freshness note, and agent breakdown.	verified	Mobile probability panel is cropped out; both screens carry historical labels.
09_what_it_cant_tell_you	04:02	04:25	State what the model cannot decide for a viewer.	Editorial restraint graphic.			Calm limits statement with no claims about outcomes or profit.	verified	Narration and visual state make the same limitation explicit.
10_cta	04:25	04:47	Close with research-only CTA and disclaimer.	Current public Analyzer landing view with CTA and disclaimer.	current-analyzer-jul-21.png		The Analyzer page remains visible behind the CTA as the voiceover says to explore it.	verified	No publication or active-pick claim.
