beat_id	start	end	narration	visual_required	desktop_asset	mobile_asset	crop_or_focus	status	notes
01_hook	00:00	00:31	Can ChatGPT help research a player prop? It can help organize research, but is not the source of truth for a current line, injury, lineup, or outcome.	Editorial answer card followed by current prompt-builder hero.	prompt-builder-current.png	prompt-builder-current.png	No third-party chat transcript; emphasize research rather than prediction.	verified	Uses the real current prompt builder after an answer-first opening.
02_exact_question	00:31	01:16	A useful question names sport, player, stat, exact line, source or platform, and research goal.	Current prompt-builder form on desktop and mobile.	prompt-builder-illustrative-current.png	mobile-prompt-builder-illustrative-current.png	Zoom sequentially through sport, player, market, line, and goal fields.	verified	Illustrative inputs are visibly labeled; no active recommendation is shown.
03_line_verification	01:16	01:57	The line creates the question; if it cannot be verified, stop and verify it.	Generated prompt’s current-date, source-timestamp, and exact-line requirements.	prompt-builder-illustrative-current.png	mobile-prompt-builder-illustrative-current.png	Crop to date, timestamp, and exact-line requirements with a stop/verify callout.	verified	No third-party chat response is fabricated.
04_sources	01:57	02:44	Check official availability sources and evaluate form, role, matchup, environment, and market context.	Generated prompt requirements with restrained research-flow diagram.	prompt-builder-illustrative-current.png	mobile-prompt-builder-illustrative-current.png	Show official-source, long-sample, role, matchup, environment, and market requirements in order.	verified	Editorial graphic only illustrates the on-screen prompt requirements.
05_counterarguments	02:44	03:40	Require both sides, direct source links, missing-data disclosure, and no-action when evidence is incomplete.	Generated prompt requirements six through ten.	prompt-builder-illustrative-current.png	mobile-prompt-builder-illustrative-current.png	Zoom to counterargument, source, missing-data, and no-action language.	verified	No-action is framed as a valid conclusion.
06_limit	03:40	03:55	A prompt cannot make stale data current; verify player, line, timestamps, and context yourself.	Current builder safety note paired with branded verification checklist.	prompt-builder-current.png	mobile-prompt-builder-current.png	Keep the builder safety statement visible.	verified	No product screen is used yet; this is tool-specific.
07_line_product	03:55	04:05	In Propeller, start with the exact player, stat, direction, and current line.	Desktop and mobile detail views.	historical-desktop-prop-detail.png	historical-mobile-prop-detail.png	Zoom into the displayed direction and exact line.	verified	Permanently labeled illustrative historical capture; not a current recommendation.
08_agents	04:05	04:17	Inspect sport-specific signals that support or challenge the analysis; the agent breakdown shows agreement and conflict.	Desktop agent rows paired with the mobile agent-breakdown and agreement view.	historical-desktop-agents.png	historical-mobile-agents.png	Zoom into desktop agent rows and mobile agreement/initial agent context.	verified	Permanently labeled illustrative historical capture; confidence is reserved for the next beat.
09_confidence	04:17	04:34	Confidence is 50–100 directional signal strength, not the exact chance of a result or a guarantee.	Desktop and mobile confidence views.	historical-desktop-prop-detail.png	historical-mobile-prop-detail.png	Show displayed direction and confidence score; crop unrelated data.	verified	Permanently labeled illustrative historical capture; no probability label is shown.
10_close	04:34	05:13	Use the prompt to structure questions and the Analyzer to inspect current evidence; pause or pass if it does not hold together.	Current prompt-builder CTA, then current Analyzer CTA and research-only disclaimer.	public-analyzer-current.png	mobile-public-analyzer-current.png	End with both URLs and research-only positioning.	verified	No implication that the tool places a wager or submits an entry.
