beat_id	start	end	narration	visual_required	desktop_asset	mobile_asset	crop_or_focus	status	notes
01	00:00.000	00:22.600	How do you research NFL player props? Start with the market, not the model.	Opening product montage plus ordered workflow.	remotion:DesktopProp	remotion:MobileProp	Exact prop fields and four-step workflow remain readable.	verified	Primary question is answered inside 15 seconds.
02	00:22.600	00:36.840	Here is a repeatable game-week workflow. The current board correctly shows no live slate.	Current public NFL board on desktop and mobile.	captures/desktop/current-nfl-offseason-2026-07-29.png	remotion:CurrentBoardMobile	Zoom to verified slate status and zero-current-props state.	verified	Captured July 29, 2026; no historical prop appears as current.
03	00:36.840	00:54.200	This walkthrough switches to a clearly labeled Josh Allen example built from archived 2025 data.	Desktop and mobile historical fixture with blocking disclosure.	remotion:DesktopProp	remotion:MobileProp	Persistent historical badge plus interface-demonstration callout.	verified	Not live, not published pregame, and not actionable.
04	00:54.200	01:17.700	Step one is availability. Do not replace a missing current line with an old number.	Return to the current zero-slate state on both platforms.	captures/desktop/current-nfl-offseason-2026-07-29.png	remotion:CurrentBoardMobile	Off-season state and checked date are readable.	verified	Only current live-state evidence is shown.
05	01:17.700	01:41.040	Identify player, stat, exact line, platform, and source time.	Historical prop fields paired on desktop and mobile.	remotion:DesktopProp	remotion:MobileProp	Orange focus around identity card; absent platform is labeled NOT RETAINED.	verified	No bookmaker or pregame timestamp is invented.
06	01:41.040	02:14.580	Step two is role and opportunity.	Prop detail with quarterback-role research prompts.	remotion:DesktopProp	N/A	Focus on attempts, designed runs, pass rate, and expected script.	verified	Mobile has no additional role-specific equivalent; no unsupported role values are asserted.
07	02:14.580	02:41.540	Step three is injury context.	Official-source checklist beside the saved Injury Impact row.	remotion:InjurySourceCard + DesktopProp	N/A	Official source first; Injury Impact row highlighted.	verified	Editorial source card avoids the obstructed browser capture and makes no current injury claim.
08	02:41.540	03:07.620	Step four is matchup and game environment.	Saved Defensive Matchup row plus four research questions.	remotion:DesktopProp	N/A	Matchup row highlighted; questions remain editorial prompts.	verified	No generic stock imagery or asserted matchup outcome.
09	03:07.620	03:36.520	Inspect the Propeller agent breakdown.	All eight saved rows on desktop and five current applicable rows on mobile.	remotion:DesktopProp	remotion:MobileProp	Agent panels outlined and readable.	verified	Mobile truthfully shows Team Efficiency, Usage Volume, Injury Impact, Defensive Matchup, and Market Check only.
10	03:36.520	04:04.740	Disagreement can be the most useful part of the breakdown.	Compare saved Defensive Matchup 25 and Usage Volume 70.	remotion:DesktopProp	remotion:MobileProp	Only the two contrasting desktop rows receive focused outlines.	verified	Grounded in the stored historical record.
11	04:04.740	04:27.340	Read direction before confidence.	Direction is focused first; confidence is focused when narration changes.	remotion:DesktopProp	remotion:MobileProp	Local timed focus changes at 12.33 seconds into the scene.	verified	UNDER 195.5 and confidence 62 remain separate fields.
12	04:27.340	04:49.060	Confidence is not calibrated win probability.	Four-field distinction: direction, confidence, line, market probability.	remotion:FourFields	N/A	Confidence card outlined; market probability shown unavailable without prices.	verified	No probability is invented.
13	04:49.060	05:09.560	Line movement deserves the same care.	Changed line to new question to verify again workflow.	remotion:Movement	N/A	Editorial process graphic, no numeric movement animation.	verified	Archived record has no movement history or authentic pregame timestamp.
14	05:09.560	05:34.480	Run one final checklist.	Historical UI remains visible beside seven-item checklist.	remotion:DesktopProp	N/A	Items reveal one at a time without obscuring the prop.	verified	Checklist matches narration order.
15	05:34.480	05:48.240	A good research process needs a clear no-action outcome.	Prominent no-action result with uncertainty conditions.	remotion:PassScene	N/A	Moved line, uncertain role, and stale evidence are shown.	verified	Avoids certainty and profitability language.
16	05:48.240	06:01.020	Repeat the freshness check close to kickoff.	Four-step freshness sequence.	remotion:Freshness	N/A	Slate, line and time, official status, decision.	verified	Current information is framed as a requirement, not displayed historical truth.
17	06:01.020	06:27.675	Save the guide and open the analyzer when a verified slate is available.	Guide and Analyzer CTA plus responsible-use product boundary.	remotion:CTA	N/A	CTA and platform limitation remain readable through the end.	verified	Propeller is identified as an independent research platform; no guarantee claim.
